StatCode,MsCode,year,Estimate,SE,LowerCIB,UpperCIB,Flag
Q1,M001,2023,21527,344,21184,21871, 
Q2,M001,2023,36563,182,36380,36745, 
Q3,M001,2023,50225,199,50026,50424, 
Q4,M001,2023,66522,282,66240,66803, 
Q5,M001,2023,114473,2831,111642,117304, 
Q6,M001,2023,57841,810,57030,58651, 
Q1,M001,2022,21148,396,20753,21544, 
Q2,M001,2022,35130,200,34929,35330, 
Q3,M001,2022,47574,264,47310,47838, 
Q4,M001,2022,62793,340,62453,63133, 
Q5,M001,2022,101395,1802,99592,103197, 
Q6,M001,2022,53628,678,52951,54306, 
Q1,M003,2023,379,576,-197,955, 
Q2,M003,2023,1433,277,1156,1710, 
Q3,M003,2023,2651,341,2310,2993, 
Q4,M003,2023,3728,466,3263,4194, 
Q5,M003,2023,13078,3001,10077,16079, 
Q6,M003,2023,4212,1113,3099,5325, 
Q1,M002,2023,24322,216,24106,24537, 
Q2,M002,2023,36435,351,36084,36786, 
Q3,M002,2023,50351,475,49876,50826, 
Q4,M002,2023,66149,532,65617,66681, 
Q5,M002,2023,96939,1701,95237,98640, 
Q6,M002,2023,50369,843,49525,51212, 
Q1,M002,2022,23628,213,23415,23841, 
Q2,M002,2022,35169,412,34756,35581, 
Q3,M002,2022,47556,362,47194,47918, 
Q4,M002,2022,62273,664,61609,62937, 
Q5,M002,2022,90842,1672,89170,92513, 
Q6,M002,2022,47567,780,46787,48347, 
Q1,M004,2023,693,303,390,997, 
Q2,M004,2023,1266,541,725,1808, 
Q3,M004,2023,2795,597,2198,3393, 
Q4,M004,2023,3876,851,3025,4727, 
Q5,M004,2023,6097,2385,3712,8482, 
Q6,M004,2023,2802,1149,1653,3951, 
P1,M005,2023,24322,253,24069,24574, 
P2,M005,2023,30018,619,29399,30637, 
P3,M005,2023,36431,629,35802,37060, 
P4,M005,2023,43297,751,42545,44048, 
P5,M005,2023,50369,843,49525,51212, 
P6,M005,2023,57418,735,56683,58153, 
P7,M005,2023,66149,858,65291,67006, 
P8,M005,2023,76963,1223,75740,78186, 
P9,M005,2023,96793,2417,94376,99210, 
P1,M005,2022,23635,246,23390,23881, 
P2,M005,2022,28942,555,28387,29496, 
P3,M005,2022,35219,589,34630,35807, 
P4,M005,2022,41209,596,40613,41804, 
P5,M005,2022,47567,780,46787,48347, 
P6,M005,2022,54784,849,53935,55633, 
P7,M005,2022,62269,1169,61100,63438, 
P8,M005,2022,73032,1269,71763,74300, 
P9,M005,2022,90931,2143,88788,93074, 
P1,M006,2023,686,49,637,736, 
P2,M006,2023,1076,93,983,1169, 
P3,M006,2023,1212,117,1096,1329, 
P4,M006,2023,2088,112,1975,2200, 
P5,M006,2023,2802,110,2692,2912, 
P6,M006,2023,2634,75,2559,2709, 
P7,M006,2023,3879,122,3758,4001, 
P8,M006,2023,3931,203,3728,4134, 
P9,M006,2023,5862,298,5564,6160, 
Q1,M007,2023,7.4,0.4,7.1,7.8, 
Q2,M007,2023,12.7,0.6,12.1,13.2, 
Q3,M007,2023,17.3,0.8,16.6,18.1, 
Q4,M007,2023,23.1,1,22.1,24.1, 
Q5,M007,2023,39.5,1.3,38.1,40.8, 
Q1,M007,2022,7.9,0.5,7.4,8.3, 
Q2,M007,2022,13.1,0.7,12.4,13.8, 
Q3,M007,2022,17.8,1,16.9,18.8, 
Q4,M007,2022,23.3,1.2,22.1,24.5, 
Q5,M007,2022,37.9,1.6,36.3,39.4, 
Q1,M008,2023,-0.4,0.6,-1,0.2, 
Q2,M008,2023,-0.5,1,-1.4,0.5, 
Q3,M008,2023,-0.5,1.3,-1.8,0.8, 
Q4,M008,2023,-0.2,1.6,-1.8,1.3, 
Q5,M008,2023,1.6,2.3,-0.7,3.9, 
R1,M009,2023,4,,,,NA
R2,M009,2023,2.6,,,,NA
R3,M009,2023,1.5,,,,NA
R4,M009,2023,0.6,,,,NA
R5,M009,2023,0.5,,,,NA
R1,M009,2022,3.8,,,,NA
R2,M009,2022,2.5,,,,NA
R3,M009,2022,1.5,,,,NA
R4,M009,2022,0.6,,,,NA
R5,M009,2022,0.5,,,,NA
G1,M010,2023,32.1,0.7,31.4,32.8, 
G1,M010,2022,30,0.6,29.4,30.5, 
G1,M011,2023,2.2,0.9,1.3,3.1, 
M1,M012,2023,88.6,0.8,87.8,89.4, 
M1,M012,2022,90.8,0.9,89.9,91.6, 
M1,M013,2023,-2.2,1.2,-3.3,-1, 
